name,category,tags,desc
NYS Math Test Results By Grade 2006-2011 - School Level - By English Proficiency Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated."
CCRB: Race of Officers against Whom Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Race of Officers against Whom Allegations Were Substantiated 2005 - 2009
"DOF: Summary of Neighborhood Sales in Brooklyn for Class 1-, 2- and 3-Family homes - 2008",Finances,"family homes, class-1, class-2, class-3, borough, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Brooklyn in 2008.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.
Update Frequency: Annually"
Disposition Of Force Allegations 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Force Allegations 2009
CCRB: Attribution of Complaints to Other Patrol Services Bureau Commands 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
Disposition Of Offensive Language Allegations 2007,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Offensive Language Allegations 2007
CCRB: Average Days for the CCRB to Close Substantiated Cases Measured from Date of Incident 2005 – 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
How Complaints Filed With The CCRB Were Reported 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Gender of Victims Whose Allegations Were Substantiated 2005 - 2009
Directory of Recreation Centers,Facilities and Structures,"",Indoor recreation facilities in New York City Department of Parks & Recreation properties.
Rank Of Subject Officers Against Whom Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Rank of Subject Officers against Whom Allegations Were Substantiated 2005 - 2009
CCRB: Attribution of Complaints to Transit Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
NYC City Hall Library Catalog,Library,"",The City Hall Library is New York City's official depository for all agency published reports and studies. More info can be found at http://nyc.gov/html/records/html/about/chlibrary.shtml
CCRB: Attribution of Complaints to Patrol Borough Manhattan South 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
CCRB: Attribution of Complaints to Patrol Borough Brooklyn South 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009..
Update Frequency: Annually"
DOF: Cooperative Comparable Rental Income – Brooklyn – FY 2009/2010,Property,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
new_311,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
hpd oct,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Municipal Parking Facilities (Bronx),Transportation,"","RSS Feed displaying municipal parking facilities in the Bronx

Updated as required"
2005 Campaign Payments,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of campaign public funds payments for candidates for City office during the 2005 election cycle
Manhattan Noise 2005 Test - Addenum 1,Other,"311, 311 service requests, 2005, ...",311 Service Requests for 2005. This is historical data and will not be updated.
DOF: Cooperative Comparable Rental Income – Bronx – FY 2008/2009,Property,"department of finance, finance, dof, ...",The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
DOF: Cooperative Comparable Rental Income – Manhattan– FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
TLC Commuter Van Authorizations,Transportation,"transportation, taxi, limousine, commuter, van, ...",Spreadsheet of all TLC commuter van authorizations
Congress District Breakdowns,"","boundary, district, congress, community, ...",Demographic statistics broken down by congress districts
English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - by English Proficiency Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
DOF: Condominium comparable rental income – Brooklyn - FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
"DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes - 2008",Property,"department of finance, finance, dof, property, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2008.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.

Update Schedule: Annually"
Municipal Parking Facilities (Staten Island),Facilities and Structures,"",RSS Feed displaying municipal parking facilities and their rates in Staten Island
Police Department Disposition Of Substantiated Cases By Year Of CCRB Referral 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Police Department Disposition of Substantiated Cases by Year of CCRB Referral 2005 - 2009
Manhattan Noise 2006 - Addenum 2 - Vehicles,Other,"311, 311 service requests, 2006, ...",311 Service Requests for 2006. This is historical data and will not be updated.
2001 Campaign Expenditures,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of  expenditures for candidates for City office during the 2001 election cycle
ACL,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Latin Media Organization Map,Media,"culture, entertainment, media, latin, cultural, ...",Listing of Latin media organizations
Directory of Handball Courts,Facilities and Structures,"",Handball Courts in New York City Department of Parks & Recreation properties.
DOF: Cooperative Comparable Rental Income – Queens – FY 2011/2012,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
Gender Of Victims Whose Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Gender of Victims Whose Allegations Were Substantiated 2005 - 2009
DOF: Condominium Comparable Rental Income – Queens – FY 2008/2009,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
NYPL Branch Services - Staten Island,Library,"libraries, culture, community, recreation, ...",New York Public Library (NYPL) branch services from July 2010 to June 2011 (Staten Island)
Staten Island Open Article 7 Petitions,"","tax, commission, action petition, record, ...","The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes."
Senate District Breakdowns,"","boundary, district, senate, community, demography, ...",Demographic statistics broken down by senate districts
Denied registrants map,Business and Economic,"wholesale, vendor, market, registration, denied",Denied registrants in the wholesale markets
DOF: Cooperative Comparable Rental Income – Staten Island – FY 2011/2012,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Patrol Borough Queens North 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009. 
Update Schedule: Annually"
English Language Arts (ELA) Test Results by Grade 2006-2011 - School level - by Disability Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Bronx 2009 TC Reductions,"","2009, tax, commission, apply, application, assess, ...",Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.
Disposition Of All Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of all Allegations 2005 - 2009
Disposition Of Discourtesy Allegations 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2009
CCRB: Age of Substantiated Cases Measured from the Date of Incident 2005 - 2009,Public Safety,"2009, docket, incident, report, substantiation, ...","A statistical breakdown of the age of Civilian Complaint Review Board (CCRB) substantiated cases, by year, measured from the date of the incidents in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period."
DOF: Condominium Comparable Rental Income – Staten Island – FY 2008/2009,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
1,Health,"health, safety, geographic, map, cartography, ...","Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence."
DOF: Condominium Comparable Rental Income – Bronx – FY 2008/2009,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
Queens Open Article 7 Petitions,"","tax, commission, action petition, record, ...","The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes."
Distribution Of Abuse Of Authority Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Distribution of Abuse of Authority Allegations 2005 - 2009
311nypd,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
English Language Arts (ELA) Test Results by Grade 2006-2011 - Citywide - by English Proficiency Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - All Students,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Traffic Control Division 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",Civilian Complaint Review Board (CCRB)
311ADB,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
CCRB: Disposition Of Abuse Of Authority Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",Disposition Of Abuse Of Authority Allegations 2005 - 2009
Disposition Of Discourtesy Allegations 2006,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2006
Oct,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Rate At Which The CCRB Made Findings On The Merits  2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Rate at Which the CCRB Made Findings on the Merits  2005 - 2009
Disposition Of Force Allegations 2006,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Force Allegations 2006
2003 Campaign Expenditures,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of expenditures for candidates for City office during 2001 election cycle
DOF: Cooperative Comparable Rental Income – Queens – FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
English Language Arts (ELA) Test Results by Grade 2006-2011 - District - by Disability Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Disposition Of Discourtesy Allegations 2008,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2008
CCRB: Age of Docket Measured from the Date of Incident 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ...","A statistical breakdown of the age of Civilian Complaint Review Board (CCRB)dockets, by year, measured from the date of the incidents in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period."
Brooklyn Open Article 7 Petitions,"","tax, commission, action petition, record, ...","The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes."
key,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
2009 Campaign Payment,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of public funds payments for candidates for City office during the 2009
Where Incidents That Led To A Substantiated Complaint Took Place - Queens 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Where Incidents that Led to a Substantiated Complaint Took Place - Queens 2005 - 2009
Brooklyn Black Students,Education,"","Graduation Outcomes - 4 Year Outcome - Cohorts of 2001 through 2006 (Classes of 2005 through 2010) 

•The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported. 

•Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort. 

•August outcomes include all June and August graduates. 

•In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals. 

•School level results are not presented for District 79 schools, but their outcomes are included in citywide totals."
CCRB: Attribution of Complaints to Patrol Borough Staten Island 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
Disposition Of Abuse Of Authority Allegations 2005,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Abuse of Authority Allegations 2005
rests,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
DOF: Condominium Comparable Rental Income –Staten Island – FY 2009/2010,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
one day,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
English Language Arts (ELA) Test Results by Grade 2006-2011 - School level - by Gender,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Disposition Of Discourtesy Allegations 2008,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2008
"DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes - 2006",Finances,"family homes, class-1, class-2, class-3, borough, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2006.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2006 to December 31, 2006, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale."
Disposition Of Offensive Language Allegations 2005,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Offensive Language Allegations 2005
2001 Campaign Payments,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of public funds payments for candidates for City office during the 2001 election cycle
Manhattan Noise Complaints 2008 Test,Other,"311, 311 service requests, 2008, ...",Test data from all 311 Service Requests for 2008 in Manhattan.
First Ten Rows,Facilities and Structures,"geographic, location, map, cartography, property, ...",Polygon representing the perimeter outline of the buildings.
Disposition Of Abuse Of Authority Allegations 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Abuse of Authority Allegations 2009
English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - by Gender,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
DOF: Cooperative Comparable Rental Income – Staten Island – FY 2008/2009,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
Distribution Of Discourtesy Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Distribution of Discourtesy Allegations 2005 - 2009
English Language Arts (ELA) Test Results by Grade 2006-2011 - District - by English Proficiency Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Disposition Of Abuse Of Authority Allegations 2007,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Abuse of Authority Allegations 2007
Manhattan Noise Compaints 2005 Test,Other,"311, 311 service requests, 2005, ...",Test data from all 311 Service Requests for 2005 in Manhattan.
CCRB: Assignment Of Officers Against Whom Allegations Were Substantiated - Other Bureaus 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
Google Map of 311 Placard Complaints - 2008,Other,"311, 311 service requests, 2008, ...",311 Service Requests for 2008. This is historical data and will not be updated.
DOF: Cooperative Comparable Rental Income – Staten Island – FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
HPD,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Disposition Of Force Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Force Allegations 2005 - 2009
Agency-Complaint Type-Descriptor ALL,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
DOF: Cooperative Comparable Rental Income – Manhattan– FY 2009/2010,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
Gender Of Subject Officers Compared To New York City Police Department Demographics 2005 - 2009-2,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Gender of Subject Officers Compared to New York City Police Department Demographics 2005 - 2009
Brooklyn 2009 TC Reductions,"","2009, tax, commission, apply, application, assess, ...",Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.
Education Of Subject Officers Against Whom Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Education of Subject Officers against Whom Allegations Were Substantiated 2005 - 2009
"DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes - 2007",Property,"department of finance, finance, dof, property, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2007.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2007 to December 31, 2007, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.

Update Schedule: Annually"
DOF: Cooperative Comparable Rental Income – Queens – FY 2008/2009,Property,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
Manhattan Noise 2005 Test - Addenum 2,Other,"311, 311 service requests, 2005, ...",311 Service Requests for 2005. This is historical data and will not be updated.
Disposition Of Force Allegations 2005,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Force Allegations 2005
CCRB: Attribution of Complaints to Patrol Borough Bronx 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
"DOF: Summary of Neighborhood Sales in the Bronx for Class 1-, 2- and 3-Family homes - 2008",Finances,"department of finance, finance, dof, property, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in the Bronx in 2008.


This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale."
